date,A01,A02,A03,A04,A05,A06,A07,A08,A09,A010,A011,A012,A013,A014,A015,A016,A017,A018,A019,A020,A021,A022,A023,A024,A025,A026,A027,A028,A029,A030,A031,A032,A033,A034,A035,A036,A037,A038,A039,A040,A041,A042,A043,A044,A045,A046,A047,A048,A049,A050,A051,A052,A053,A054,A055,A056,A057,A058,A059,A060,A061,A062,A063,A064,A065,A066,A067,A068,A069,A070,A071,A072,A073,A074,A075,A076,A077,A078,A079,A080,A081,A082,A083,A084,A085,A086,A087,A088,A089,A090,A091,A092,A093,A094,A095,A096,A097,A098
2016-04-01 00:00:00,13468,5877,9282,15263,10805,17250,17993,0,0,4296,0,0,0,0,0,20006,17216,11680,11970,13368,17512,21456,0,19345,20103,11393,6727,8873,10326,1180,24562,16016,16256,7850,8575,7174,15654,365,3384,13211,13942,18242,23392,9859,12881,0,11200,8834,1983,8352,0,16205,0,14436,0,12224,6821,29,3643,7266,12123,17531,16256,0,6727,0,0,11838,0,0,7298,19294,8834,0,0,0,0,0,0,15654,12859,0,11970,17038,0,0,0,0,0,0,0,20023,11040,13572,0,12123,2342,0
2016-04-02 00:00:00,9446,4109,9255,8080,472,19239,2856,6750,0,640,0,0,0,0,0,24004,22567,5894,7766,6287,4807,20075,0,13981,18365,10558,7184,11105,10315,11281,4418,21050,20429,5013,11421,1963,8358,15089,6557,26412,2227,10028,29408,21376,26155,0,13344,4931,6578,12470,0,0,0,18724,0,9633,9304,1844,26912,3244,15756,14649,20429,0,7184,0,0,6289,0,0,13739,10638,0,0,0,0,0,0,0,8358,4413,0,7766,6914,0,0,0,0,0,0,0,2557,3334,5975,0,15756,8278,0
2016-04-03 00:00:00,6084,5447,7447,6144,1258,15678,8058,14115,0,2096,0,0,0,0,0,11467,18079,9179,13763,14739,799,12998,0,12533,10872,9819,4984,3040,3817,4349,2926,15093,6360,3937,6805,1751,1059,12690,6926,15071,1821,12519,16630,8333,14316,0,4890,4433,4063,16195,0,14115,0,15389,0,5068,11268,2095,2872,7635,1044,16506,6360,0,4984,0,0,13573,0,0,2781,6520,4433,0,0,0,0,0,0,1059,3412,0,13763,23013,0,0,0,0,0,0,0,6144,9984,13565,0,1044,472,0
2016-04-04 00:00:00,20283,12388,6140,22445,21992,32130,19785,22755,0,8213,0,0,0,0,0,16742,7831,20029,13018,24202,7779,21750,0,20295,25370,18007,24197,15469,14038,14567,11600,12533,31950,23282,9653,9374,15038,42083,12395,22611,11358,10363,16480,23732,16972,0,13670,10023,11799,18204,0,22755,0,30661,0,10741,12425,2601,2945,4573,21494,24436,31950,0,24197,0,0,14979,0,0,13751,8342,10023,0,0,0,0,0,0,15038,10019,0,13018,14963,0,0,0,0,0,0,0,11401,13613,20958,0,21494,10216,0
2016-04-05 00:00:00,12881,7755,10926,17673,26202,19950,17620,12980,0,12402,0,0,0,0,0,20022,14984,9218,14583,17181,5981,18334,0,18002,21489,28575,19971,7124,20543,5113,20379,16975,23337,10569,11346,7440,11730,16118,15011,12515,10011,21024,28619,16330,16660,0,16328,2079,12321,7555,0,12980,7776,366,0,10235,6184,9820,13754,7458,17585,22927,23337,0,19971,0,0,18203,0,0,9370,11878,2079,0,0,0,0,0,0,11730,6736,0,14583,6792,0,0,0,0,0,0,0,15548,16839,12058,0,17585,6223,0
2016-04-06 00:00:00,9979,1974,11801,13585,21643,11197,13600,11089,0,8085,0,0,0,0,0,17688,13127,24555,21335,18027,10413,11183,0,12869,15047,25651,10959,12119,10103,15146,9167,15873,16048,9766,7539,5717,9162,15027,14795,9327,14854,23608,25198,11082,19496,0,11611,9032,7153,9679,0,11089,2135,15759,0,15234,3077,12055,11351,10327,10983,16585,16048,0,10959,0,0,12609,0,0,15834,9874,9032,0,0,0,0,0,0,9162,13651,0,21335,8238,0,0,0,0,0,0,0,13495,13817,18773,0,10983,6915,0
2016-04-07 00:00:00,6012,12350,6974,13870,18659,15898,18910,12455,0,4622,0,0,0,0,0,16108,11419,28286,19956,16094,11622,7031,0,12847,27216,30469,11528,9412,22487,14472,20080,16785,17028,10823,19113,12710,15191,22273,16552,22182,11783,15171,20403,8388,15382,0,1015,6434,13055,11963,0,12455,12362,15841,0,14122,3441,8240,3141,11472,13216,15754,17028,0,11528,0,0,15514,0,0,11575,9427,6434,0,0,0,0,0,0,15191,8454,0,19956,5978,0,0,0,0,0,0,0,18413,18584,12179,0,13216,3843,0
2016-04-08 00:00:00,21789,18234,14474,11767,26156,13981,16876,23422,0,2608,0,0,0,0,0,10966,17017,30210,28999,23805,4571,5446,0,16347,30282,24487,15340,10477,11410,15600,23574,25007,15103,15938,8958,13037,16331,24583,23211,25183,11100,16947,19953,13000,19991,0,18408,6625,8646,22195,0,23422,19047,16833,0,14975,3892,7238,75,11559,23665,23138,15103,0,15340,0,0,19665,0,0,3365,17118,6625,0,0,0,0,0,0,16331,10634,0,28999,10935,0,0,0,0,0,0,0,17007,1735,23749,0,23665,2295,0
2016-04-09 00:00:00,9011,10339,10096,14685,18324,21844,20158,14303,0,2813,0,0,0,0,0,11962,16096,24981,33941,10916,6274,8981,0,13928,29235,23829,17654,15003,35277,2565,10431,11384,11161,7052,12386,4262,4739,30944,20780,29336,6761,18976,25333,12837,22087,0,4809,3429,6960,28901,0,14303,4225,25785,0,12651,7824,11601,5053,1802,11782,14637,11161,0,17654,0,0,8209,0,0,21030,14430,3429,0,0,0,0,0,0,4739,2446,0,33941,8924,0,0,0,0,0,0,0,11761,2867,22123,0,11782,15764,0
2016-04-10 00:00:00,5666,11506,3224,4373,10137,11153,2716,7332,0,706,0,0,0,0,0,12983,2609,12312,23202,10669,857,6398,0,5084,14174,21018,8810,5381,27160,11600,4780,11255,9669,2631,3555,2849,1258,10270,13590,14029,825,13653,14351,15328,13336,0,3056,2402,8884,15352,0,7332,3322,16403,0,11726,11514,12726,13880,6492,6811,19587,9669,0,8810,0,0,1664,0,0,4957,7145,2402,0,0,0,0,0,0,1258,3287,0,23202,4879,0,0,0,0,0,0,0,4774,5874,8900,0,6811,6,1855
