date,2016-04-01 00:00:00,2016-04-02 00:00:00,2016-04-03 00:00:00,2016-04-04 00:00:00,2016-04-05 00:00:00,2016-04-06 00:00:00,2016-04-07 00:00:00,2016-04-08 00:00:00,2016-04-09 00:00:00,2016-04-10 00:00:00,2016-04-11 00:00:00,2016-04-12 00:00:00,2016-04-13 00:00:00,2016-04-14 00:00:00,2016-04-15 00:00:00,2016-04-16 00:00:00,2016-04-17 00:00:00,2016-04-18 00:00:00,2016-04-19 00:00:00,2016-04-20 00:00:00,2016-04-21 00:00:00,2016-04-22 00:00:00,2016-04-23 00:00:00,2016-04-24 00:00:00,2016-04-25 00:00:00,2016-04-26 00:00:00,2016-04-27 00:00:00,2016-04-28 00:00:00,2016-04-29 00:00:00,2016-04-30 00:00:00,2016-05-01 00:00:00,2016-05-02 00:00:00,2016-05-03 00:00:00,2016-05-04 00:00:00,2016-05-05 00:00:00,2016-05-06 00:00:00,2016-05-07 00:00:00,2016-05-08 00:00:00,2016-05-09 00:00:00,2016-05-10 00:00:00,2016-05-11 00:00:00,2016-05-12 00:00:00,2016-05-13 00:00:00,2016-05-14 00:00:00,2016-05-15 00:00:00,2016-05-16 00:00:00,2016-05-17 00:00:00,2016-05-18 00:00:00,2016-05-19 00:00:00,2016-05-20 00:00:00
A01,30660000,32940000,20760000,20100000,33060000,23580000,20640000,38700000,30720000,23580000,26340000,25980000,22920000,5460000,22740000,13320000,8820000,16620000,25800000,13800000,25440000,31800000,27480000,26160000,21180000,33060000,31200000,21840000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A02,27300000,22380000,23880000,22440000,29340000,24000000,28320000,31740000,8160000,18720000,24600000,37680000,21180000,36420000,30180000,18180000,5940000,43740000,27480000,27300000,33300000,3720000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A03,26880000,9780000,32400000,26280000,23880000,25020000,27840000,31500000,20700000,24000000,24720000,20160000,22080000,21720000,19860000,19800000,28740000,24240000,25020000,22320000,25140000,18900000,22380000,30600000,20400000,17700000,44820000,17580000,25200000,16320000,15120000,32160000,33120000,26040000,30780000,25440000,26520000,19320000,27120000,27000000,21300000,33120000,28740000,28140000,21960000,29820000,0,0,0,0
A04,22980000,14460000,16860000,22380000,28380000,19500000,22200000,21240000,33060000,17160000,36240000,17940000,7140000,18060000,21540000,15960000,24060000,19020000,26220000,20820000,21480000,27060000,17880000,19560000,9540000,21900000,21840000,19560000,30720000,11760000,23460000,26640000,22200000,27660000,15300000,23520000,17940000,10080000,16260000,18600000,23220000,23340000,27180000,15960000,28680000,25680000,17220000,14580000,0,0
A05,22920000,21900000,26760000,20940000,28560000,28860000,29280000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A06,14280000,15780000,21780000,11100000,14760000,9240000,36360000,15180000,33360000,19200000,21300000,11400000,18960000,29760000,13980000,26580000,13980000,6960000,18780000,29820000,32160000,24000000,25260000,21720000,24240000,16680000,16440000,14220000,26100000,17640000,26640000,22980000,17820000,21780000,15900000,35340000,37320000,22080000,20160000,19020000,14940000,32520000,28260000,19380000,22200000,23400000,29640000,25080000,32160000,0
A07,23820000,22920000,23160000,23940000,22140000,24480000,24840000,24420000,34500000,24360000,22920000,26340000,24540000,22800000,26880000,29220000,21240000,24720000,25140000,25620000,30600000,25020000,27240000,21840000,36000000,17460000,17760000,27480000,32820000,30720000,20520000,35340000,17520000,34680000,32520000,20580000,18000000,34620000,30840000,24480000,25980000,32880000,23940000,23760000,26220000,20220000,21900000,26160000,29640000,0
A08,30720000,29520000,11880000,22380000,23760000,25920000,22380000,33660000,39660000,20400000,21780000,21900000,18420000,22740000,23700000,16680000,26160000,31560000,31020000,25980000,23340000,28320000,29700000,18600000,21360000,21780000,7680000,37200000,32400000,37020000,15240000,30300000,23460000,20400000,34560000,26400000,21120000,13260000,29820000,25680000,17460000,26160000,34500000,25260000,20340000,23220000,17880000,23220000,0,0
A09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A010,29760000,29580000,14460000,30180000,27420000,31020000,24720000,28560000,36900000,18600000,18600000,35100000,34500000,25320000,36960000,16560000,11940000,31500000,26160000,26280000,27660000,28380000,22860000,27180000,29460000,37980000,35760000,17760000,25260000,26100000,21300000,25020000,5760000,25800000,19740000,36960000,13920000,28380000,29160000,19200000,37500000,35100000,25500000,32820000,30240000,0,0,0,0,0
