date,2016-04-01 00:00:00,2016-04-02 00:00:00,2016-04-03 00:00:00,2016-04-04 00:00:00,2016-04-05 00:00:00,2016-04-06 00:00:00,2016-04-07 00:00:00,2016-04-08 00:00:00,2016-04-09 00:00:00,2016-04-10 00:00:00,2016-04-11 00:00:00,2016-04-12 00:00:00,2016-04-13 00:00:00,2016-04-14 00:00:00,2016-04-15 00:00:00,2016-04-16 00:00:00,2016-04-17 00:00:00,2016-04-18 00:00:00,2016-04-19 00:00:00,2016-04-20 00:00:00,2016-04-21 00:00:00,2016-04-22 00:00:00,2016-04-23 00:00:00,2016-04-24 00:00:00,2016-04-25 00:00:00,2016-04-26 00:00:00,2016-04-27 00:00:00,2016-04-28 00:00:00,2016-04-29 00:00:00,2016-04-30 00:00:00,2016-05-01 00:00:00,2016-05-02 00:00:00,2016-05-03 00:00:00,2016-05-04 00:00:00,2016-05-05 00:00:00,2016-05-06 00:00:00,2016-05-07 00:00:00,2016-05-08 00:00:00,2016-05-09 00:00:00,2016-05-10 00:00:00,2016-05-11 00:00:00,2016-05-12 00:00:00,2016-05-13 00:00:00,2016-05-14 00:00:00,2016-05-15 00:00:00,2016-05-16 00:00:00,2016-05-17 00:00:00,2016-05-18 00:00:00,2016-05-19 00:00:00,2016-05-20 00:00:00
A01,13468,9446,6084,20283,12881,9979,6012,21789,9011,5666,17171,8423,4049,13419,14750,10556,9467,14508,8912,4988,9838,16571,2933,3073,11116,11220,2523,0,10822,5329,10019,576,0,0,8712,12369,4196,734,0,0,0,0,0,0,0,0,2505,13238,4882,0
A02,5877,4109,5447,12388,7755,1974,12350,18234,10339,11506,11068,2658,1002,11142,10761,10224,8882,5210,12027,8450,5697,6364,2421,2117,7925,10310,6804,8980,0,0,0,5842,8112,8872,10606,5855,12987,56,4,10966,6664,10079,9881,0,5928,0,0,0,0,0
A03,9282,9255,7447,6140,10926,11801,6974,14474,10096,3224,9392,9704,13783,6617,11994,2112,14033,7177,8347,6049,7339,9327,4540,10530,10421,10464,10979,6367,6492,11587,10839,11,9929,14483,7739,4455,4425,2422,7333,8484,7518,4677,7345,10857,81,6235,2759,1505,4308,9024
A04,15263,8080,6144,22445,17673,13585,13870,11767,14685,4373,16379,7483,21906,13641,15050,14008,6353,12905,13232,15945,9785,11808,16499,8088,13764,9191,15852,18481,16986,11254,7686,14731,20180,13292,7424,10032,21320,6223,13813,1483,6719,13473,21787,20730,9496,22358,17921,11676,13081,17123
A05,10805,472,1258,21992,26202,21643,18659,26156,18324,10137,19434,16226,7551,6956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A06,17250,19239,15678,32130,19950,11197,15898,13981,21844,11153,15659,16502,25934,17649,15342,22867,11951,16853,13819,18138,13851,12086,7529,10456,13847,10543,11502,13285,11796,23043,10695,10120,10460,12333,12083,943,6517,11155,13882,9988,10287,14199,14002,6666,6164,23161,16207,8080,9530,1420
A07,17993,2856,8058,19785,17620,13600,18910,16876,20158,2716,13518,19813,9716,17474,14744,1906,6273,11158,16919,9699,13805,12396,2934,2962,9517,3181,14013,13740,5103,16990,5830,11931,7366,15588,6096,17565,13648,11367,9643,7611,10312,12263,4895,5561,8325,13539,19683,13652,13061,22093
A08,0,6750,14115,22755,12980,11089,12455,23422,14303,7332,20993,9691,8524,15384,12359,8271,15868,14550,13515,12535,13283,15780,11905,7482,13597,17018,14732,13051,9885,10753,10136,16639,10454,11944,10041,15470,10269,15822,11887,12857,8651,16271,15711,9510,3553,9330,10233,11055,13400,9148
A09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A010,4296,640,2096,8213,12402,8085,4622,2608,2813,706,6286,9714,3337,5360,3403,3486,1459,6442,7890,9661,3997,583,1059,1351,5387,6482,7112,4967,4644,488,2539,6696,6837,9725,3053,852,2394,4905,6658,8714,7879,7000,3879,14729,8288,5632,8582,9095,4685,4994
A011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A016,20006,24004,11467,16742,20022,17688,16108,10966,11962,12983,17300,15225,16475,12732,16163,10594,15739,13631,13303,15942,12029,12806,4869,10154,15399,18844,21603,10062,14162,12980,7830,12017,0,0,0,8587,30730,2749,6822,14446,2822,7500,63,0,0,0,0,0,0,0
A017,17216,22567,18079,7831,14984,13127,11419,17017,16096,2609,12785,15871,17775,17119,15530,3594,1629,12818,19175,14697,10293,17501,15929,14684,9160,10891,16627,13148,18862,11397,29019,8063,10694,20641,19920,21681,16121,8967,10501,12503,12182,17062,18019,13603,2625,9312,8021,13389,15668,19248
A018,11680,5894,9179,20029,9218,24555,28286,30210,24981,12312,15426,19015,11572,8940,25846,13977,15917,15381,13413,12778,19162,19810,18428,10332,17635,19899,18852,12434,20971,26341,8366,13788,5454,12559,11304,11618,7481,20331,15025,14072,24577,13991,16441,14732,6834,16285,19170,19422,14209,22377
A019,11970,7766,13763,13018,14583,21335,19956,28999,33941,23202,28030,32075,10593,25019,19781,10295,12555,14115,15630,5980,9138,8652,9697,9301,19297,18144,7904,10917,11670,1925,17096,8864,11420,14109,12297,11132,7719,22310,18168,21747,16760,14134,21448,13316,15269,23644,24438,10162,24575,24728
A020,13368,6287,14739,24202,17181,18027,16094,23805,10916,10669,23751,21716,1113,12502,24440,8178,1055,15328,13279,10129,15293,12732,29202,8594,15849,16789,9243,14160,22156,18704,10269,110,14750,8326,11565,4384,12364,23,23551,12091,16383,15976,20425,12852,394,14111,12732,10,12912,23529
A021,17512,4807,799,7779,5981,10413,11622,4571,6274,857,6364,11181,5965,6620,7894,8269,850,11281,1134,6345,2960,8796,5767,2691,7426,2844,5797,6056,7652,7060,4391,115,5031,10344,7697,6104,8585,998,6719,400,9819,4957,5908,6222,1454,6946,4680,2201,2242,1944
A022,21456,20075,12998,21750,18334,11183,7031,5446,8981,6398,9698,10006,9011,10083,7124,1888,1886,8376,11174,7243,10035,1207,2132,3272,16470,10534,6512,13441,4251,4637,6442,7792,9590,11012,3445,6411,1751,6345,9104,9894,6563,7542,6498,3423,4790,17579,7611,6652,9944,14386
